CommodityName,CommodityCode,CommodityGroupCode,CommodityGroupName
Chennangi Dal,246,2,Pulses
Chennangi(Whole),198,2,Pulses
Cherry,278,5,Fruits
Chhappan Kaddu,468,6,Vegetables
Chikoos(Sapota),58,5,Fruits
Chili Red,26,7,Spices
Chilly Capsicum,74,6,Vegetables
Chironji,438,12,Forest Products
Chow Chow,139,6,Vegetables
Chrysanthemum,331,14,Flowers
Chrysanthemum(Loose),189,14,Flowers
Cinamon(Dalchini),267,7,Spices
Clarkia,407,14,Flowers
Cloves,89,7,Spices
Cluster beans,66,6,Vegetables
Coca,266,7,Spices
Cock,315,13,"Live Stock,Poultry,Fisheries"
Cocoa,88,9,Beverages
Coconut,116,7,Spices
Coconut Coir,469,10,Others
Coconut Oil,220,15,Oils and Fats
Coconut Seed,96,3,Oil Seeds
Coffee,41,9,Beverages
Colacasia,269,6,Vegetables
Coleus,470,11,Drug and Narcotics
Copra,111,3,Oil Seeds
Coriander(Leaves),39,6,Vegetables
Corriander seed,92,7,Spices
Cossandra,401,14,Flowers
Cotton,15,4,Fibre Crops
Cotton Seed,84,3,Oil Seeds
Cow,171,13,"Live Stock,Poultry,Fisheries"
Cowpea(Lobia/Karamani),78,2,Pulses
Cowpea(Veg),75,6,Vegetables
Crab,471,13,"Live Stock,Poultry,Fisheries"
Cucumbar(Kheera),131,6,Vegetables
Cummin Seed(Jeera),38,7,Spices
Curry Leaf,415,6,Vegetables
Custard Apple(Sharifa),300,5,Fruits
Daila(Chandni),329,14,Flowers
Dal(Avare),77,2,Pulses
Dalda,227,15,Oils and Fats
Dates,472,8,Dry Fruits
Delha,339,14,Flowers
Dhaincha,57,10,Others
Double Beans,421,6,Vegetables
Dragon fruit,424,5,Fruits
Drumstick,140,6,Vegetables
Dry Chillies,113,7,Spices
Dry Fish,473,13,"Live Stock,Poultry,Fisheries"
Dry Fodder,293,10,Others
Dry Grapes,231,8,Dry Fruits
Duck,317,13,"Live Stock,Poultry,Fisheries"
Duster Beans,135,6,Vegetables
Egg,314,13,"Live Stock,Poultry,Fisheries"
Egypian Clover(Barseem),308,10,Others
Elephant Yam(Suran)/Amorphophallus,247,6,Vegetables
Field Bean(Anumulu),474,6,Vegetables
Field Gram,475,2,Pulses
Field Pea,53,6,Vegetables
Fig (Dry),476,8,Dry Fruits
Fig(Anjura/Anjeer),180,10,Others
Firewood,166,12,Forest Products
Fish,313,13,"Live Stock,Poultry,Fisheries"
Flax seeds,439,10,Others
Flower Broom,312,12,Forest Products
Foxtail Millet(Navane),104,1,Cereals
French Beans(Frasbean),249,6,Vegetables
Galgal(Lemon),298,6,Vegetables
Gamphrena,400,14,Flowers
Garcinia,477,5,Fruits
Garlic,25,6,Vegetables
Gerbera,478,14,Flowers
Ghee,206,15,Oils and Fats
Gherkin,479,6,Vegetables
Ghost Pepper(King Chilli),480,6,Vegetables
Giloy,381,12,Forest Products
Gingelly Oil,229,15,Oils and Fats
Ginger Seed,481,7,Spices
Ginger(Dry),27,7,Spices
Ginger(Green),87,6,Vegetables
Gladiolus Bulb,311,14,Flowers
Gladiolus Cut Flower,310,14,Flowers
Glardia,391,14,Flowers
Goat,178,13,"Live Stock,Poultry,Fisheries"
Goat Hair,301,10,Others
Gond,440,12,Forest Products
Goose berry(Nellikkai),423,5,Fruits
Goosefoot,482,6,Vegetables
Gram Raw(Chholia),306,6,Vegetables
Gramflour,245,10,Others
Grapes,22,5,Fruits
Green Avare(W),137,6,Vegetables
Green Chilli,73,6,Vegetables
Green Fodder,294,10,Others
Green Gram Dal(Moong Dal),219,2,Pulses
Green Gram(Moong)(Whole),9,2,Pulses
Green Peas,46,2,Pulses
Green Tea,483,9,Beverages
Grey Fruit,484,5,Fruits
Ground Nut Oil,221,15,Oils and Fats
Ground Nut Seed,222,3,Oil Seeds
Groundnut,10,3,Oil Seeds
Groundnut pods(raw),263,6,Vegetables
